roll,pitch,yaw,x,y,z
-1.68606,0.00294316,-1.48307,0.0679026,-0.0223392,-0.217363
-1.71926,-0.0173511,-1.49802,0.0560799,0.0139869,-0.137808
-1.69531,-0.0239151,-1.49555,0.0571104,0.0122311,-0.188541
-1.66826,-0.0028645,-1.48927,0.065545,-0.00650912,-0.260179
-1.68351,-0.0182044,-1.49383,0.0689071,0.00443824,-0.231363
-1.71011,-0.0232965,-1.49098,0.0558584,0.000362596,-0.158433
-1.69507,-0.0201863,-1.49154,0.059938,0.000861904,-0.191208
-1.69507,-0.0205443,-1.49172,0.0610974,0.0017849,-0.196448
-1.69771,-0.0247893,-1.49395,0.0598705,0.00995768,-0.187911
-1.68017,-0.00776389,-1.48695,0.0640389,-0.0145627,-0.236729
-1.70605,-0.0192912,-1.49145,0.057711,0.00106513,-0.166565
-1.71153,-0.0176075,-1.48654,0.0594163,-0.0113884,-0.15543
-1.69505,-0.02688,-1.50267,0.0630002,0.0315384,-0.195749
-1.68353,0.00290318,-1.49004,0.0664706,-0.00295239,-0.223176
-1.72019,-0.0109265,-1.50689,0.0596569,0.0382352,-0.132065
-1.68962,-0.0405164,-1.49123,0.0626316,-0.0043503,-0.201292
-1.69722,-0.0305171,-1.49247,0.0615317,0.00388824,-0.19112
-1.68946,-0.0215145,-1.50235,0.0656578,0.0271983,-0.21498
-1.66872,-0.0188358,-1.49818,0.070913,0.0187921,-0.270275
-1.70586,-0.0199571,-1.48087,0.0700162,-0.029396,-0.173841
-1.69835,-0.0331367,-1.48277,0.0553942,-0.0186751,-0.184432
-1.69697,0.0100249,-1.49522,0.0628694,0.00761945,-0.196522
-1.69722,-0.0264634,-1.48663,0.0569662,-0.0109566,-0.18728
-1.69607,-0.0303332,-1.50266,0.0651442,0.033797,-0.201073
-1.69554,-0.0252509,-1.48098,0.0571236,-0.0251043,-0.196051
-1.70273,-0.0209818,-1.50293,0.0652809,0.0338554,-0.178768
-1.6822,-0.0138079,-1.49179,0.0644448,-0.0010898,-0.221073
-1.69949,-0.0291687,-1.48786,0.0522322,-0.00492787,-0.181211
-1.69091,-0.0411683,-1.49829,0.0663817,0.0142749,-0.205461
-1.69773,-0.0241313,-1.49931,0.0619177,0.0134739,-0.182701
-1.6924,-0.0227264,-1.50065,0.0609966,0.0270844,-0.197793
-1.6735,-0.00890149,-1.49424,0.0682424,0.00906979,-0.250872
-1.68205,-0.0209819,-1.49535,0.0667899,0.0118521,-0.243834
-1.6942,-0.0064548,-1.48388,0.0656447,-0.0228332,-0.201102
-1.68374,-0.019566,-1.47965,0.0592268,-0.0320688,-0.226091
-1.71473,-0.0235078,-1.49716,0.0611816,0.013149,-0.150111
-1.70564,-0.0278903,-1.49645,0.0599573,0.0143608,-0.170168
-1.70242,-0.032085,-1.4999,0.0626865,0.0247927,-0.184632
-1.69447,-0.0180806,-1.49469,0.0631917,0.00863577,-0.196684
-1.68553,-0.0187801,-1.49654,0.0682941,0.0117573,-0.225975
-1.71228,-0.0200525,-1.50474,0.0619165,0.0336256,-0.153978
-1.71101,-0.0198611,-1.49833,0.0632547,0.0199455,-0.156626
-1.68043,-0.0388942,-1.49318,0.0649072,-0.000832547,-0.221547
-1.70028,-0.00917537,-1.48424,0.0678204,-0.0205683,-0.183936
-1.70799,-0.018941,-1.48895,0.0659695,-0.00699758,-0.166558
-1.69545,-0.0399812,-1.48464,0.0628049,-0.0172376,-0.198609
-1.69217,-0.0205234,-1.49228,0.0687668,0.00151599,-0.214479
-1.69463,-0.0244078,-1.49343,0.062596,0.00924703,-0.201664
-1.7004,-0.0245952,-1.5013,0.0596289,0.0236136,-0.178872
-1.69134,-0.037338,-1.47911,0.0563393,-0.0289666,-0.202701
